ecosystem,packageName,name,displayName,description,recipeCount,category1,category1Description
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeOkHttp4,Migrate to OkHttp 4.x,This recipe will apply changes commonly needed when migrating to OkHttp 4.x.,13,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeOkHttp4Dependencies,Migrate OkHttp dependencies to 4.x,Migrate OkHttp dependencies to 4.x.,3,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeOkHttp5,Migrate to OkHttp 5.x,This recipe will apply changes commonly needed when migrating to OkHttp 5.x.,29,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeOkHttp5Dependencies,Migrate OkHttp dependencies to 5.x,Migrate OkHttp dependencies to 5.x.,9,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeMockWebServer3,Migrate to MockWebServer3 (core module),Migrate from the legacy `mockwebserver` artifact to `mockwebserver3` core module without JUnit dependency.,5,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeMockWebServer3JUnit4,Migrate to MockWebServer3 with JUnit 4,Migrate from the legacy `mockwebserver` artifact to `mockwebserver3-junit4` with JUnit 4 integration.,5,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.UpgradeMockWebServer3JUnit5,Migrate to MockWebServer3 with JUnit 5,Migrate from the legacy `mockwebserver` artifact to `mockwebserver3-junit5` with JUnit 5 integration.,5,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okhttp.ReorderRequestBodyCreateArguments,Reorder the arguments of `RequestBody.create()`,Reorder the arguments of `RequestBody.create()` to put the `MediaType` argument after the `String` body.,3,OkHttp,Recipes to perform [OkHttp](https://square.github.io/okhttp/) and [Okio](https://square.github.io/okio/) migration tasks.
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okio.UpgradeOkio3,Migrate to Okio 3.x,This recipe will apply changes commonly needed when migrating to Okio 3.x.,7,Okio,
maven,org.openrewrite.recipe:rewrite-okhttp,org.openrewrite.okio.UpgradeOkio3Dependencies,Migrate Okio dependencies to 3.x,Migrate Okio dependencies to 3.x.,5,Okio,
